Agency,Type,Distribution,Product,Duration,Destination,Sales,Commision,Age,Claim
RAB,Airlines,Online,Value Plan,5,BRUNEI DARUSSALAM,15.0,6.0,67,No
JZI,Airlines,Online,Value Plan,19,CHINA,45.0,15.75,52,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,26.65,6.66,48,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,65.0,16.25,41,No
JZI,Airlines,Online,Basic Plan,37,HONG KONG,26.0,9.1,33,No
JZI,Airlines,Online,Basic Plan,26,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,39,No
C2B,Airlines,Online,Silver Plan,43,SINGAPORE,39.0,9.75,46,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,48.5,12.13,31,No
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,62.0,15.5,30,No
JZI,Airlines,Online,Basic Plan,13,THAILAND,22.0,7.7,48,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,22.0,7.7,54,No
JZI,Airlines,Online,Basic Plan,19,THAILAND,30.0,10.5,49,No
JZI,Airlines,Online,Basic Plan,24,MYANMAR,18.0,6.3,31,No
JZI,Airlines,Online,Basic Plan,126,INDONESIA,42.0,14.7,43,No
JZI,Airlines,Online,Basic Plan,14,HONG KONG,26.0,9.1,62,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,13.5,3.38,37,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,18.5,4.63,31,No
JZI,Airlines,Online,Basic Plan,32,INDONESIA,30.0,10.5,35,No
JZI,Airlines,Online,Basic Plan,15,VIET NAM,22.0,7.7,43,No
JZI,Airlines,Online,Basic Plan,9,MALAYSIA,22.0,7.7,46,No
C2B,Airlines,Online,Silver Plan,30,SINGAPORE,67.0,16.75,53,No
TST,Travel Agency,Offline,Travel Cruise Protect,13,THAILAND,30.0,10.5,59,No
JZI,Airlines,Online,Basic Plan,9,THAILAND,22.0,7.7,43,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,33,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,53.5,13.38,25,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.0,4.25,33,No
C2B,Airlines,Online,Silver Plan,29,SINGAPORE,39.0,9.75,27,No
C2B,Airlines,Online,Bronze Plan,107,SINGAPORE,47.0,11.75,49,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,39.0,9.75,51,No
KML,Travel Agency,Online,Value Plan,39,INDONESIA,28.0,10.64,48,No
JZI,Airlines,Online,Basic Plan,28,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,42,No
JZI,Airlines,Online,Value Plan,8,CHINA,45.0,15.75,62,No
JZI,Airlines,Online,Basic Plan,12,CHINA,35.0,12.25,37,No
JZI,Airlines,Online,Basic Plan,6,CHINA,22.0,7.7,53,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,21.0,5.25,51,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,11.5,2.88,37,No
JZI,Airlines,Online,Basic Plan,14,MALAYSIA,30.0,10.5,32,No
C2B,Airlines,Online,Bronze Plan,79,SINGAPORE,20.0,5.0,23,No
JZI,Airlines,Online,Basic Plan,46,MALAYSIA,18.0,6.3,53,No
JZI,Airlines,Online,Basic Plan,3,INDONESIA,18.0,6.3,53,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,19.2,4.8,50,No
ART,Airlines,Online,24 Protect,46,MALAYSIA,25.59,8.96,48,No
JZI,Airlines,Online,Basic Plan,26,CHINA,40.0,14.0,44,No
JZI,Airlines,Online,Basic Plan,71,CHINA,35.0,12.25,27,No
TST,Travel Agency,Offline,Travel Cruise Protect,28,THAILAND,30.0,10.5,60,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,20.5,5.13,38,No
TST,Travel Agency,Offline,Travel Cruise Protect,60,THAILAND,30.0,10.5,79,No
JZI,Airlines,Online,Value Plan,66,HONG KONG,45.0,15.75,34,No
JZI,Airlines,Online,Basic Plan,17,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,53,No
JZI,Airlines,Online,Basic Plan,110,HONG KONG,26.0,9.1,70,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,22.5,5.63,27,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,30.55,7.64,31,No
JZI,Airlines,Online,Basic Plan,59,THAILAND,22.0,7.7,44,No
RAB,Airlines,Online,Value Plan,7,BRUNEI DARUSSALAM,0.0,6.0,69,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,30,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,30.0,10.5,32,No
JZI,Airlines,Online,Value Plan,15,"KOREA, REPUBLIC OF",45.0,15.75,32,No
JZI,Airlines,Online,Basic Plan,33,HONG KONG,35.0,12.25,66,No
JZI,Airlines,Online,Value Plan,18,JAPAN,58.0,20.3,29,No
JZI,Airlines,Online,Basic Plan,59,CHINA,35.0,12.25,29,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,26,Yes
JZI,Airlines,Online,Basic Plan,4,INDONESIA,18.0,6.3,50,No
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,21.0,5.25,71,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,13.5,3.38,38,No
C2B,Airlines,Online,Silver Plan,16,SINGAPORE,18.5,4.63,20,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,26.5,6.63,38,No
JZI,Airlines,Online,Basic Plan,13,MYANMAR,18.0,6.3,38,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,18.0,6.3,66,No
ART,Airlines,Online,Value Plan,9,CHINA,51.0,17.85,42,No
ART,Airlines,Online,Value Plan,18,CHINA,40.0,14.0,50,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,39.0,9.75,26,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,22.1,5.53,23,No
JZI,Airlines,Online,Basic Plan,7,PHILIPPINES,22.0,7.7,33,No
JZI,Airlines,Online,Basic Plan,17,THAILAND,22.0,7.7,25,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,40.0,10.0,30,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,65.0,16.25,36,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,22.5,5.63,60,No
JZI,Airlines,Online,Value Plan,26,NEW ZEALAND,58.0,20.3,48,No
JZI,Airlines,Online,Basic Plan,8,VIET NAM,22.0,7.7,55,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,35.25,8.81,31,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,13.5,3.38,33,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.0,4.25,28,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,18.5,4.63,29,No
JZI,Airlines,Online,Basic Plan,29,THAILAND,18.0,6.3,50,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,30.0,10.5,66,No
JZI,Airlines,Online,Basic Plan,8,MYANMAR,22.0,7.7,54,No
JZI,Airlines,Online,Basic Plan,20,CHINA,26.0,9.1,40,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,20.0,5.0,36,No
C2B,Airlines,Online,Gold Plan,1,SINGAPORE,36.0,9.0,61,No
JZI,Airlines,Online,Basic Plan,52,CHINA,26.0,9.1,50,No
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,38.35,9.59,33,No
JZI,Airlines,Online,Basic Plan,34,CHINA,26.0,9.1,56,No
JZI,Airlines,Online,Basic Plan,35,VIET NAM,22.0,7.7,58,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,16.0,4.0,32,No
JZI,Airlines,Online,Basic Plan,1,CHINA,22.0,7.7,35,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,39.0,9.75,24,No
JZI,Airlines,Online,Basic Plan,15,MALAYSIA,18.0,6.3,52,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,23.5,5.88,31,No
JZI,Airlines,Online,Basic Plan,77,HONG KONG,26.0,9.1,51,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,18.0,4.5,24,No
JZI,Airlines,Online,Basic Plan,73,INDONESIA,37.0,12.95,42,No
JZI,Airlines,Online,Basic Plan,62,INDONESIA,30.0,10.5,48,No
CCR,Travel Agency,Offline,Comprehensive Plan,79,THAILAND,29.0,9.57,68,No
JZI,Airlines,Online,Basic Plan,17,HONG KONG,22.0,7.7,47,No
JZI,Airlines,Online,Basic Plan,14,VIET NAM,22.0,7.7,64,No
ART,Airlines,Online,24 Protect,4,MALAYSIA,16.93,5.93,48,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,18.0,4.5,32,No
JZI,Airlines,Online,Basic Plan,13,MALAYSIA,18.0,6.3,27,No
KML,Travel Agency,Online,Value Plan,5,INDONESIA,28.0,10.64,48,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,24.05,6.01,47,No
JZI,Airlines,Online,Basic Plan,21,CHINA,35.0,12.25,60,No
JZI,Airlines,Online,Basic Plan,13,MALAYSIA,22.0,7.7,36,No
JZI,Airlines,Online,Basic Plan,5,THAILAND,22.0,7.7,40,No
JZI,Airlines,Online,Basic Plan,25,HONG KONG,26.0,9.1,46,No
JZI,Airlines,Online,Basic Plan,14,UNITED ARAB EMIRATES,36.0,12.6,51,No
TST,Travel Agency,Offline,Travel Cruise Protect,72,MALAYSIA,30.0,10.5,29,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,18.5,4.63,53,No
RAB,Airlines,Online,Value Plan,22,BRUNEI DARUSSALAM,50.0,20.0,28,No
JZI,Airlines,Online,Basic Plan,94,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,78,No
KML,Travel Agency,Online,Value Plan,61,INDONESIA,28.0,10.64,48,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,47,No
JZI,Airlines,Online,Basic Plan,35,MALAYSIA,18.0,6.3,56,No
ART,Airlines,Online,24 Protect,34,UNITED ARAB EMIRATES,57.24,20.03,48,No
JZI,Airlines,Online,Basic Plan,20,THAILAND,22.0,7.7,45,No
KML,Travel Agency,Online,Value Plan,99,INDONESIA,33.0,12.54,48,No
RAB,Airlines,Online,Value Plan,38,BRUNEI DARUSSALAM,15.0,6.0,28,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,35.25,8.81,57,No
C2B,Airlines,Online,Bronze Plan,78,SINGAPORE,32.9,8.22,33,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,18,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,6,THAILAND,32.0,20.8,28,No
JZI,Airlines,Online,Basic Plan,34,CHINA,26.0,9.1,76,No
JZI,Airlines,Online,Basic Plan,40,THAILAND,18.0,6.3,55,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,47.0,11.75,28,No
C2B,Airlines,Online,Silver Plan,39,SINGAPORE,22.5,5.63,30,Yes
JZI,Airlines,Online,Basic Plan,9,VIET NAM,22.0,7.7,50,No
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,33.5,8.38,30,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,23.4,5.85,39,No
JZI,Airlines,Online,Value Plan,19,CHINA,45.0,15.75,60,No
JZI,Airlines,Online,Value Plan,24,"KOREA, REPUBLIC OF",58.0,20.3,23,No
JZI,Airlines,Online,Basic Plan,23,INDONESIA,18.0,6.3,45,No
JZI,Airlines,Online,Basic Plan,10,INDIA,35.0,12.25,33,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,22.5,5.63,35,No
JZI,Airlines,Online,Basic Plan,18,HONG KONG,26.0,9.1,43,No
JZI,Airlines,Online,Basic Plan,21,HONG KONG,26.0,9.1,51,No
JZI,Airlines,Online,Value Plan,7,MALAYSIA,26.0,9.1,59,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,19.2,4.8,26,Yes
JZI,Airlines,Online,Basic Plan,20,PHILIPPINES,18.0,6.3,35,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,42.0,10.5,26,Yes
JZI,Airlines,Online,Basic Plan,5,MYANMAR,18.0,6.3,30,No
TST,Travel Agency,Offline,Travel Cruise Protect,24,MALAYSIA,30.0,10.5,43,No
JZI,Airlines,Online,Basic Plan,51,INDONESIA,30.0,10.5,40,No
C2B,Airlines,Online,Bronze Plan,68,SINGAPORE,39.0,9.75,36,No
JZI,Airlines,Online,Basic Plan,97,PHILIPPINES,37.0,12.95,27,No
JZI,Airlines,Online,Basic Plan,14,THAILAND,18.0,6.3,42,No
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,56.5,14.13,25,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,47.5,11.88,42,No
JZI,Airlines,Online,Basic Plan,22,MYANMAR,22.0,7.7,48,No
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,33.5,8.38,26,No
JZI,Airlines,Online,Basic Plan,23,THAILAND,22.0,7.7,58,No
RAB,Airlines,Online,Value Plan,16,BRUNEI DARUSSALAM,15.0,6.0,50,No
JZI,Airlines,Online,Basic Plan,9,CHINA,22.0,7.7,36,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,60,No
JZI,Airlines,Online,Basic Plan,10,CHINA,26.0,9.1,37,No
JZI,Airlines,Online,Basic Plan,53,THAILAND,22.0,7.7,47,No
TST,Travel Agency,Offline,Travel Cruise Protect,38,MALAYSIA,30.0,10.5,7,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,16.0,4.0,27,No
JZI,Airlines,Online,Basic Plan,13,CHINA,26.0,9.1,51,No
TST,Travel Agency,Offline,Travel Cruise Protect,25,THAILAND,30.0,10.5,65,No
C2B,Airlines,Online,Bronze Plan,80,SINGAPORE,60.0,15.0,25,No
JZI,Airlines,Online,Basic Plan,39,MALAYSIA,22.0,7.7,56,No
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,40.5,10.13,33,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,21.0,5.25,62,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,28.5,7.13,33,No
JZI,Airlines,Online,Basic Plan,50,INDONESIA,52.0,18.2,33,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,18.0,6.3,44,No
JZI,Airlines,Online,Value Plan,25,VIET NAM,33.0,11.55,55,No
JZI,Airlines,Online,Basic Plan,3,HONG KONG,22.0,7.7,45,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,13.5,3.38,37,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,17.0,4.25,22,No
JZI,Airlines,Online,Basic Plan,4,MALAYSIA,18.0,6.3,48,No
C2B,Airlines,Online,Silver Plan,54,SINGAPORE,47.5,11.88,40,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,23.4,5.85,30,No
JZI,Airlines,Online,Basic Plan,6,HONG KONG,26.0,9.1,27,No
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,0.0,4.8,59,No
JZI,Airlines,Online,Basic Plan,22,"TAIWAN, PROVINCE OF CHINA",35.0,12.25,55,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,21.0,5.25,23,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,26.5,6.63,49,No
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,46,No
KML,Travel Agency,Online,Value Plan,34,INDONESIA,33.0,12.54,48,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,49.0,12.25,35,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,43,No
CCR,Travel Agency,Offline,Comprehensive Plan,10,MALAYSIA,29.0,9.57,24,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,28,No
C2B,Airlines,Online,Silver Plan,31,SINGAPORE,67.0,16.75,21,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,3,INDONESIA,26.5,17.23,48,No
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,13.5,3.38,54,No
JZI,Airlines,Online,Basic Plan,5,MALAYSIA,18.0,6.3,56,No
RAB,Airlines,Online,Value Plan,50,BRUNEI DARUSSALAM,15.0,6.0,44,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,23.0,5.75,27,Yes
JZI,Airlines,Online,Basic Plan,10,VIET NAM,0.0,6.3,46,No
C2B,Airlines,Online,Silver Plan,37,SINGAPORE,24.5,6.13,76,No
TST,Travel Agency,Offline,Travel Cruise Protect,84,MALAYSIA,30.0,10.5,64,No
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,20.25,5.06,41,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,20.25,5.06,46,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,40.0,10.0,33,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,29,No
JZI,Airlines,Online,Basic Plan,9,PHILIPPINES,18.0,6.3,35,No
RAB,Airlines,Online,Value Plan,5,BRUNEI DARUSSALAM,15.0,6.0,45,No
RAB,Airlines,Online,Value Plan,3,BRUNEI DARUSSALAM,15.0,6.0,69,No
JZI,Airlines,Online,Basic Plan,9,CHINA,26.0,9.1,49,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,13,HONG KONG,26.5,17.23,40,No
JZI,Airlines,Online,Basic Plan,7,MALAYSIA,30.0,10.5,51,No
JZI,Airlines,Online,Basic Plan,28,THAILAND,18.0,6.3,57,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,18.5,4.63,27,No
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,56.5,14.13,24,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,16.0,4.0,34,No
JZI,Airlines,Online,Basic Plan,27,CHINA,26.0,9.1,34,No
JZI,Airlines,Online,Basic Plan,18,CHINA,26.0,9.1,31,No
JZI,Airlines,Online,Value Plan,5,THAILAND,33.0,11.55,46,No
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,53.0,13.25,40,No
JZI,Airlines,Online,Basic Plan,4,MYANMAR,18.0,6.3,57,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,25,No
JZI,Airlines,Online,Basic Plan,114,PHILIPPINES,37.0,12.95,43,No
JZI,Airlines,Online,Basic Plan,6,INDONESIA,22.0,7.7,64,No
JZI,Airlines,Online,Basic Plan,10,MALAYSIA,30.0,10.5,45,No
JZI,Airlines,Online,Value Plan,12,CHINA,45.0,15.75,33,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,11.5,2.88,24,No
JZI,Airlines,Online,Basic Plan,43,THAILAND,22.0,7.7,34,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,48.5,12.13,34,Yes
JZI,Airlines,Online,Basic Plan,12,SWITZERLAND,55.0,19.25,32,No
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,53.0,13.25,39,No
JZI,Airlines,Online,Basic Plan,71,VIET NAM,22.0,7.7,39,No
RAB,Airlines,Online,Value Plan,2,BRUNEI DARUSSALAM,15.0,6.0,40,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,18.0,4.5,36,No
JZI,Airlines,Online,Value Plan,17,CHINA,36.0,12.6,46,No
JZI,Airlines,Online,Basic Plan,6,HONG KONG,22.0,7.7,52,No
JZI,Airlines,Online,Basic Plan,9,VIET NAM,22.0,7.7,46,No
JZI,Airlines,Online,Value Plan,88,AUSTRALIA,45.0,15.75,22,No
JZI,Airlines,Online,Basic Plan,3,CHINA,22.0,7.7,32,No
TST,Travel Agency,Offline,Travel Cruise Protect,22,THAILAND,30.0,10.5,82,No
C2B,Airlines,Online,Silver Plan,21,SINGAPORE,22.5,5.63,42,No
JZI,Airlines,Online,Basic Plan,21,CHINA,26.0,9.1,41,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,22.5,5.63,26,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,33.5,8.38,26,No
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,17.0,4.25,50,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,22.1,5.53,30,No
JZI,Airlines,Online,Basic Plan,21,PHILIPPINES,18.0,6.3,58,No
JZI,Airlines,Online,Basic Plan,16,HONG KONG,35.0,12.25,47,No
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,30.55,7.64,31,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,22.0,7.7,42,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,17.55,4.39,38,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,26.5,6.63,23,No
JZI,Airlines,Online,Basic Plan,6,INDONESIA,18.0,6.3,55,No
JZI,Airlines,Online,Basic Plan,14,HONG KONG,26.0,9.1,40,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,20.0,5.0,52,No
C2B,Airlines,Online,Bronze Plan,38,SINGAPORE,53.25,13.31,47,No
JZI,Airlines,Online,Basic Plan,56,PHILIPPINES,37.0,12.95,27,No
JZI,Airlines,Online,Basic Plan,35,CHINA,26.0,9.1,31,No
ART,Airlines,Online,24 Protect,43,PHILIPPINES,6.09,2.13,48,No
JZI,Airlines,Online,Basic Plan,22,CHINA,44.0,15.4,31,No
CBH,Travel Agency,Offline,Comprehensive Plan,25,THAILAND,29.0,9.57,20,No
JZI,Airlines,Online,Basic Plan,108,PHILIPPINES,22.0,7.7,33,No
JZI,Airlines,Online,Basic Plan,5,MALAYSIA,22.0,7.7,60,No
RAB,Airlines,Online,Value Plan,36,BRUNEI DARUSSALAM,23.0,9.2,64,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.0,4.25,29,Yes
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,13.5,3.38,39,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,39.0,9.75,28,No
JZI,Airlines,Online,Basic Plan,9,HONG KONG,26.0,9.1,45,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,32,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,17.0,4.25,65,No
JZI,Airlines,Online,Basic Plan,26,THAILAND,22.0,7.7,32,No
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,20.0,5.0,32,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,47.0,11.75,47,No
C2B,Airlines,Online,Bronze Plan,74,SINGAPORE,13.5,3.38,26,No
C2B,Airlines,Online,Silver Plan,2,SINGAPORE,19.5,4.88,53,No
JZI,Airlines,Online,Basic Plan,54,JAPAN,40.0,14.0,22,No
JZI,Airlines,Online,Basic Plan,65,THAILAND,22.0,7.7,34,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,33.5,8.38,35,No
RAB,Airlines,Online,Value Plan,25,BRUNEI DARUSSALAM,31.0,12.4,26,No
JZI,Airlines,Online,Basic Plan,61,INDONESIA,37.0,12.95,29,No
JZI,Airlines,Online,Basic Plan,13,VIET NAM,22.0,7.7,30,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,18.5,4.63,56,No
JZI,Airlines,Online,Basic Plan,63,VIET NAM,30.0,10.5,30,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,21.0,5.25,64,No
JZI,Airlines,Online,Basic Plan,5,INDONESIA,22.0,7.7,54,No
JZI,Airlines,Online,Basic Plan,22,THAILAND,22.0,7.7,46,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,32.0,8.0,23,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,27.0,6.75,28,No
JZI,Airlines,Online,Basic Plan,12,INDONESIA,18.0,6.3,34,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.5,7.38,23,No
JZI,Airlines,Online,Basic Plan,25,CHINA,44.0,15.4,44,No
CBH,Travel Agency,Offline,Comprehensive Plan,64,THAILAND,29.0,9.57,66,No
C2B,Airlines,Online,Silver Plan,35,SINGAPORE,63.5,15.88,51,No
ART,Airlines,Online,24 Protect,9,CAMBODIA,3.59,1.26,48,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,3,MALAYSIA,27.0,17.55,22,No
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,30,No
JZI,Airlines,Online,Basic Plan,48,INDONESIA,42.0,14.7,41,No
C2B,Airlines,Online,Bronze Plan,78,SINGAPORE,45.5,11.38,30,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,10,INDONESIA,25.0,16.25,44,No
ART,Airlines,Online,Value Plan,23,CHINA,40.0,14.0,47,No
JZI,Airlines,Online,Basic Plan,95,"TAIWAN, PROVINCE OF CHINA",44.0,15.4,68,No
JZI,Airlines,Online,Basic Plan,18,CHINA,26.0,9.1,55,No
JZI,Airlines,Online,Basic Plan,20,INDONESIA,18.0,6.3,50,No
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,16.0,4.0,32,No
JZI,Airlines,Online,Basic Plan,59,CHINA,35.0,12.25,38,No
JZI,Airlines,Online,Basic Plan,23,THAILAND,30.0,10.5,65,No
JZI,Airlines,Online,Basic Plan,50,HONG KONG,22.0,7.7,31,No
JZI,Airlines,Online,Basic Plan,15,HONG KONG,26.0,9.1,31,No
C2B,Airlines,Online,Silver Plan,23,SINGAPORE,29.5,7.38,21,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,13.5,3.38,27,No
JZI,Airlines,Online,Basic Plan,40,MALAYSIA,22.0,7.7,35,No
ART,Airlines,Online,Value Plan,3,"KOREA, REPUBLIC OF",32.0,11.2,55,No
TST,Travel Agency,Offline,Travel Cruise Protect,14,THAILAND,30.0,10.5,57,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,39.0,9.75,23,No
TST,Travel Agency,Offline,Travel Cruise Protect,10,THAILAND,30.0,10.5,52,No
JZI,Airlines,Online,Basic Plan,47,HONG KONG,22.0,7.7,48,No
TST,Travel Agency,Offline,Travel Cruise Protect,72,THAILAND,30.0,10.5,63,No
RAB,Airlines,Online,Value Plan,14,BRUNEI DARUSSALAM,15.0,6.0,47,No
C2B,Airlines,Online,Silver Plan,39,SINGAPORE,18.5,4.63,21,No
JZI,Airlines,Online,Basic Plan,21,CHINA,35.0,12.25,68,No
JZI,Airlines,Online,Basic Plan,24,CHINA,26.0,9.1,29,No
C2B,Airlines,Online,Silver Plan,75,SINGAPORE,62.0,15.5,23,No
C2B,Airlines,Online,Silver Plan,37,SINGAPORE,29.5,7.38,52,No
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,50.0,12.5,28,No
JZI,Airlines,Online,Basic Plan,24,MALAYSIA,18.0,6.3,54,No
CCR,Travel Agency,Offline,Premier Plan,9,MALAYSIA,58.0,19.14,72,No
JZI,Airlines,Online,Basic Plan,31,PHILIPPINES,22.0,7.7,46,No
JZI,Airlines,Online,Basic Plan,68,MALAYSIA,18.0,6.3,62,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,18.5,4.63,55,No
JZI,Airlines,Online,Basic Plan,3,CHINA,22.0,7.7,41,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,17.0,4.25,66,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,27.0,6.75,29,No
JZI,Airlines,Online,Basic Plan,21,INDONESIA,22.0,7.7,30,No
JZI,Airlines,Online,Basic Plan,74,HONG KONG,26.0,9.1,59,No
JZI,Airlines,Online,Basic Plan,2,THAILAND,18.0,6.3,45,No
